id,type,solver,label,status,submitted_on,solved_on
1081d3c9-d7a9-4595-a3f9-4fff780f6eef,ising,Advantage_system4.1,BIKAINTEK_EMBEDDING_ER_175_0.4_2_1_2,COMPLETED,2025-06-18T18:09:55.753323Z,2025-06-18T18:09:56.322824Z
70bb7cc7-2ab1-4f74-a0db-0d653617ea21,ising,Advantage_system4.1,BIKAINTEK_EMBEDDING_ER_175_0.4_2_0_2,COMPLETED,2025-06-18T18:09:53.104197Z,2025-06-18T18:09:53.684153Z
312ef418-7e69-4c0f-a968-8c4390ac7c07,ising,Advantage_system4.1,BIKAINTEK_EMBEDDING_ER_175_0.4_1_9_2,COMPLETED,2025-06-18T18:09:50.434842Z,2025-06-18T18:09:51.005965Z
ea8c2f49-04df-4e38-9ebc-def505d61d6c,ising,Advantage_system4.1,BIKAINTEK_EMBEDDING_ER_175_0.4_1_8_2,COMPLETED,2025-06-18T18:09:47.930536Z,2025-06-18T18:09:48.496784Z
a0184763-e9ad-41fd-94b6-15437f6b695a,ising,Advantage_system4.1,BIKAINTEK_EMBEDDING_ER_175_0.4_1_7_2,COMPLETED,2025-06-18T18:09:45.403084Z,2025-06-18T18:09:45.976774Z
ec3e9dbc-c50b-44df-b510-c226086184a1,ising,Advantage_system4.1,BIKAINTEK_EMBEDDING_ER_175_0.4_1_6_2,COMPLETED,2025-06-18T18:09:42.777448Z,2025-06-18T18:09:43.343071Z
332f176c-3ea8-490f-8fc1-89abf3ffe64c,ising,Advantage_system4.1,BIKAINTEK_EMBEDDING_ER_175_0.4_1_5_2,COMPLETED,2025-06-18T18:09:40.164821Z,2025-06-18T18:09:40.743382Z
ff5df8ff-5538-404f-83e0-9c691e07b36b,ising,Advantage_system4.1,BIKAINTEK_EMBEDDING_ER_175_0.4_1_4_2,COMPLETED,2025-06-18T18:09:37.469771Z,2025-06-18T18:09:38.007009Z
f1d84a03-6405-4450-8e95-6ded322378a3,ising,Advantage_system4.1,BIKAINTEK_EMBEDDING_ER_175_0.4_1_3_2,COMPLETED,2025-06-18T18:09:34.935501Z,2025-06-18T18:09:35.478826Z
afa9f138-5e09-491c-a38c-977f95593706,ising,Advantage_system4.1,BIKAINTEK_EMBEDDING_ER_175_0.4_1_2_2,COMPLETED,2025-06-18T18:09:32.199586Z,2025-06-18T18:09:32.753275Z
aaa5aa56-804b-4374-b7d7-e5addd014c17,ising,Advantage_system4.1,BIKAINTEK_EMBEDDING_ER_175_0.4_1_1_2,COMPLETED,2025-06-18T18:09:29.547942Z,2025-06-18T18:09:30.084954Z
7960d277-5603-449e-b83e-d3a238daeb81,ising,Advantage_system4.1,BIKAINTEK_EMBEDDING_ER_175_0.4_1_0_2,COMPLETED,2025-06-18T18:09:26.969391Z,2025-06-18T18:09:27.503781Z
c2c96171-cc9a-41e8-b565-227583e3b075,ising,Advantage_system4.1,BIKAINTEK_EMBEDDING_ER_175_0.4_0_9_2,COMPLETED,2025-06-18T18:09:23.501963Z,2025-06-18T18:09:24.061669Z
7b15d88b-800f-40cc-94a4-952572947885,ising,Advantage_system4.1,BIKAINTEK_EMBEDDING_ER_175_0.4_0_8_2,COMPLETED,2025-06-18T18:09:20.890459Z,2025-06-18T18:09:21.456916Z
bd91bbf7-70fa-405a-a4bd-174476b05f8a,ising,Advantage_system4.1,BIKAINTEK_EMBEDDING_ER_175_0.4_0_7_2,COMPLETED,2025-06-18T18:09:18.245117Z,2025-06-18T18:09:18.773245Z
8801fb4a-31c1-4cc4-a213-82c1a39a1b99,ising,Advantage_system4.1,BIKAINTEK_EMBEDDING_ER_175_0.4_0_6_2,COMPLETED,2025-06-18T18:09:15.607934Z,2025-06-18T18:09:16.127609Z
61859b76-5c56-43f4-a40c-5c7c15aa3887,ising,Advantage_system4.1,BIKAINTEK_EMBEDDING_ER_175_0.4_0_5_2,COMPLETED,2025-06-18T18:09:12.847135Z,2025-06-18T18:09:13.497666Z
1fd6d0f1-2f05-49a3-8543-1afba73dd1d2,ising,Advantage_system4.1,BIKAINTEK_EMBEDDING_ER_175_0.4_0_4_2,COMPLETED,2025-06-18T18:09:10.096211Z,2025-06-18T18:09:10.724321Z
a1699373-0227-4670-a4f1-dedf100d2690,ising,Advantage_system4.1,BIKAINTEK_EMBEDDING_ER_175_0.4_0_3_2,COMPLETED,2025-06-18T18:09:07.306558Z,2025-06-18T18:09:07.907499Z
8882ec10-350f-4a29-8a9a-4e68dd9a4374,ising,Advantage_system4.1,BIKAINTEK_EMBEDDING_ER_175_0.4_0_2_2,COMPLETED,2025-06-18T18:09:04.664673Z,2025-06-18T18:09:05.174421Z
1e696469-9bce-4bed-a08f-89a4feb0f132,ising,Advantage_system4.1,BIKAINTEK_EMBEDDING_ER_175_0.4_0_1_2,COMPLETED,2025-06-18T18:09:01.805048Z,2025-06-18T18:09:02.611365Z
c17987d4-40c6-47d7-8900-8b3c7f43d4bc,ising,Advantage_system4.1,BIKAINTEK_EMBEDDING_ER_175_0.4_0_0_2,COMPLETED,2025-06-18T18:08:59.034457Z,2025-06-18T18:08:59.594052Z
9d966fd8-7f05-43de-9531-a1fdb5b739b6,ising,Advantage_system4.1,BIKAINTEK_EMBEDDING_ER_165_0.4_4_9_2,COMPLETED,2025-06-18T18:08:23.558224Z,2025-06-18T18:08:24.180675Z
4fca2972-44b1-41ad-b018-f27adb23bb3d,ising,Advantage_system4.1,BIKAINTEK_EMBEDDING_ER_165_0.4_4_8_2,COMPLETED,2025-06-18T18:08:20.918317Z,2025-06-18T18:08:21.457292Z
109ec62c-1230-4788-89cb-2757e3bf4876,ising,Advantage_system4.1,BIKAINTEK_EMBEDDING_ER_165_0.4_4_7_2,COMPLETED,2025-06-18T18:08:18.328185Z,2025-06-18T18:08:18.862482Z
7ccc67ef-0e69-40ef-8cc0-ff61427dbc6f,ising,Advantage_system4.1,BIKAINTEK_EMBEDDING_ER_165_0.4_4_6_2,COMPLETED,2025-06-18T18:08:14.769550Z,2025-06-18T18:08:15.274432Z
8461c58d-f901-4b6e-a19e-89676963bdc5,ising,Advantage_system4.1,BIKAINTEK_EMBEDDING_ER_165_0.4_4_5_2,COMPLETED,2025-06-18T18:08:12.290545Z,2025-06-18T18:08:12.812679Z
69520819-d239-4b0e-875e-2a5fa18ea080,ising,Advantage_system4.1,BIKAINTEK_EMBEDDING_ER_165_0.4_4_4_2,COMPLETED,2025-06-18T18:08:09.669697Z,2025-06-18T18:08:10.228864Z
fd67735c-32fc-478d-96b4-f36589f2093a,ising,Advantage_system4.1,BIKAINTEK_EMBEDDING_ER_165_0.4_4_3_2,COMPLETED,2025-06-18T18:08:07.049586Z,2025-06-18T18:08:07.618565Z
2fb767ab-7d05-4868-a9e0-c1f45c2eb94b,ising,Advantage_system4.1,BIKAINTEK_EMBEDDING_ER_165_0.4_4_2_2,COMPLETED,2025-06-18T18:08:04.385492Z,2025-06-18T18:08:04.947071Z
